Shape,Clarity,Color,Shape-Color-Clarity,Begin Size,End Size,List,Date
PS,SI2,H,PS-H-SI2-0.23,0.23,0.29,840,7/5/2024
PS,SI3,H,PS-H-SI3-0.23,0.23,0.29,720,7/5/2024
PS,I1,H,PS-H-I1-0.23,0.23,0.29,570,7/5/2024
PS,I2,H,PS-H-I2-0.23,0.23,0.29,450,7/5/2024
PS,I3,H,PS-H-I3-0.23,0.23,0.29,350,7/5/2024
PS,IF,I,PS-I-IF-0.23,0.23,0.29,1180,7/5/2024
PS,VVS1,I,PS-I-VVS1-0.23,0.23,0.29,1180,7/5/2024
PS,VVS2,I,PS-I-VVS2-0.23,0.23,0.29,1180,7/5/2024
PS,VS1,I,PS-I-VS1-0.23,0.23,0.29,1020,7/5/2024
PS,VS2,I,PS-I-VS2-0.23,0.23,0.29,1020,7/5/2024
PS,SI1,I,PS-I-SI1-0.23,0.23,0.29,840,7/5/2024
PS,SI2,I,PS-I-SI2-0.23,0.23,0.29,720,7/5/2024
PS,SI3,I,PS-I-SI3-0.23,0.23,0.29,630,7/5/2024
PS,I1,I,PS-I-I1-0.23,0.23,0.29,490,7/5/2024
PS,I2,I,PS-I-I2-0.23,0.23,0.29,390,7/5/2024
PS,I3,I,PS-I-I3-0.23,0.23,0.29,300,7/5/2024
PS,IF,J,PS-J-IF-0.23,0.23,0.29,1180,7/5/2024
PS,VVS1,J,PS-J-VVS1-0.23,0.23,0.29,1180,7/5/2024
PS,VVS2,J,PS-J-VVS2-0.23,0.23,0.29,1180,7/5/2024
PS,VS1,J,PS-J-VS1-0.23,0.23,0.29,1020,7/5/2024
PS,VS2,J,PS-J-VS2-0.23,0.23,0.29,1020,7/5/2024
PS,SI1,J,PS-J-SI1-0.23,0.23,0.29,840,7/5/2024
PS,SI2,J,PS-J-SI2-0.23,0.23,0.29,720,7/5/2024
PS,SI3,J,PS-J-SI3-0.23,0.23,0.29,630,7/5/2024
PS,I1,J,PS-J-I1-0.23,0.23,0.29,490,7/5/2024
PS,I2,J,PS-J-I2-0.23,0.23,0.29,390,7/5/2024
PS,I3,J,PS-J-I3-0.23,0.23,0.29,300,7/5/2024
PS,IF,K,PS-K-IF-0.23,0.23,0.29,940,7/5/2024
PS,VVS1,K,PS-K-VVS1-0.23,0.23,0.29,940,7/5/2024
PS,VVS2,K,PS-K-VVS2-0.23,0.23,0.29,940,7/5/2024
PS,VS1,K,PS-K-VS1-0.23,0.23,0.29,820,7/5/2024
PS,VS2,K,PS-K-VS2-0.23,0.23,0.29,820,7/5/2024
PS,SI1,K,PS-K-SI1-0.23,0.23,0.29,670,7/5/2024
PS,SI2,K,PS-K-SI2-0.23,0.23,0.29,590,7/5/2024
PS,SI3,K,PS-K-SI3-0.23,0.23,0.29,510,7/5/2024
PS,I1,K,PS-K-I1-0.23,0.23,0.29,390,7/5/2024
PS,I2,K,PS-K-I2-0.23,0.23,0.29,310,7/5/2024
PS,I3,K,PS-K-I3-0.23,0.23,0.29,230,7/5/2024
PS,IF,L,PS-L-IF-0.23,0.23,0.29,940,7/5/2024
PS,VVS1,L,PS-L-VVS1-0.23,0.23,0.29,940,7/5/2024
PS,VVS2,L,PS-L-VVS2-0.23,0.23,0.29,940,7/5/2024
PS,VS1,L,PS-L-VS1-0.23,0.23,0.29,820,7/5/2024
PS,VS2,L,PS-L-VS2-0.23,0.23,0.29,820,7/5/2024
PS,SI1,L,PS-L-SI1-0.23,0.23,0.29,670,7/5/2024
PS,SI2,L,PS-L-SI2-0.23,0.23,0.29,590,7/5/2024
PS,SI3,L,PS-L-SI3-0.23,0.23,0.29,510,7/5/2024
PS,I1,L,PS-L-I1-0.23,0.23,0.29,390,7/5/2024
PS,I2,L,PS-L-I2-0.23,0.23,0.29,310,7/5/2024
PS,I3,L,PS-L-I3-0.23,0.23,0.29,230,7/5/2024
PS,IF,M,PS-M-IF-0.23,0.23,0.29,780,7/5/2024
PS,VVS1,M,PS-M-VVS1-0.23,0.23,0.29,780,7/5/2024
